symbol,year,month,monthly_return,market_index
0799.HK,2021,1,,0.09876742599625041
0799.HK,2021,2,0.1488095238095238,0.04585340211554232
0799.HK,2021,3,-0.13471502590673579,0.01700029021145369
0799.HK,2021,4,0.31137724550898216,0.03782302486828027
0799.HK,2021,5,-0.12328767123287679,-0.033434336099747275
0799.HK,2021,6,-0.10937499999999999,-0.004026761213798243
0799.HK,2021,7,-0.14035087719298242,-0.03046802006744616
0799.HK,2021,8,-0.15532879818594106,0.0057618538127902985
0799.HK,2021,9,-0.016107382550335586,0.015445379940335032
0799.HK,2021,10,-0.01227830832196451,0.029084296608942007
0799.HK,2021,11,0.02071823204419882,-0.062430806902308573
0799.HK,2021,12,-0.06224627875507442,-0.019526913877831963
0799.HK,2022,1,-0.30014430014430016,-0.05490953417447081
0799.HK,2022,2,-0.037113402061855615,0.002477971955938063
0799.HK,2022,3,-0.1991434689507494,0.10747826707852819
0799.HK,2022,4,-0.12566844919786102,-0.034263094657184516
0799.HK,2022,5,-0.03363914373088681,-0.04764053087087148
0799.HK,2022,6,0.07594936708860751,-0.036177007014385046
0799.HK,2022,7,-0.07352941176470588,0.021870798626214563
0799.HK,2022,8,0.07619047619047627,0.01291552123399961
0799.HK,2022,9,-0.28613569321533927,-0.06799997615624291
0799.HK,2022,10,-0.1570247933884297,-0.031081348555469745
0799.HK,2022,11,0.32843137254901955,0.05272418156620458
0799.HK,2022,12,0.07011070110701105,-0.036348710752189636
0799.HK,2023,1,0.013793103448275874,0.35257719336125903
0799.HK,2023,2,-0.023809523809523756,-0.048895843908380636
0799.HK,2023,3,0.07317073170731705,-0.007216349938952379
0799.HK,2023,4,1.1006493506493504,0.03398853396497515
0799.HK,2023,5,-0.36785162287480677,-0.06160968620156909
0799.HK,2023,6,-0.05134474327628361,0.004222473645935783
0799.HK,2023,7,0.01546391752577321,0.0066097958812061375
1792.HK,2021,1,,0.09876742599625041
1792.HK,2021,2,0.06756756756756763,0.04585340211554232
1792.HK,2021,3,-0.21518987341772153,0.01700029021145369
1792.HK,2021,4,0.08064516129032265,0.03782302486828027
1792.HK,2021,5,-0.1044776119402986,-0.033434336099747275
1792.HK,2021,6,-0.1666666666666666,-0.004026761213798243
1792.HK,2021,7,-0.24000000000000007,-0.03046802006744616
1792.HK,2021,8,0.18421052631578946,0.0057618538127902985
1792.HK,2021,9,1.866666666666667,0.015445379940335032
1792.HK,2021,10,-0.1007751937984496,0.029084296608942007
1792.HK,2021,11,-0.08620689655172421,-0.062430806902308573
1792.HK,2021,12,-0.1509433962264151,-0.019526913877831963
1792.HK,2022,1,-0.15555555555555556,-0.05490953417447081
1792.HK,2022,2,0.05263157894736847,0.002477971955938063
1792.HK,2022,3,-0.06250000000000006,0.10747826707852819
1792.HK,2022,4,-0.013333333333333346,-0.034263094657184516
1792.HK,2022,5,-0.25675675675675674,-0.04764053087087148
1792.HK,2022,6,0.05454545454545459,-0.036177007014385046
1792.HK,2022,7,-0.1206896551724139,0.021870798626214563
1792.HK,2022,8,-0.019607843137254784,0.01291552123399961
1792.HK,2022,9,-0.26000000000000006,-0.06799997615624291
1792.HK,2022,10,0.13513513513513525,-0.031081348555469745
1792.HK,2022,11,0.04761904761904749,0.05272418156620458
1792.HK,2022,12,0.11363636363636374,-0.036348710752189636
1792.HK,2023,1,0.0,0.35257719336125903
1792.HK,2023,2,0.0,-0.048895843908380636
1792.HK,2023,3,0.061224489795918276,-0.007216349938952379
1792.HK,2023,4,-0.15384615384615385,0.03398853396497515
1792.HK,2023,5,-0.09090909090909084,-0.06160968620156909
1792.HK,2023,6,-0.14999999999999997,0.004222473645935783
1792.HK,2023,7,-0.029411764705882377,0.0066097958812061375
2588.HK,2021,1,,0.09876742599625041
2588.HK,2021,2,0.18389897395422256,0.04585340211554232
2588.HK,2021,3,0.003999999999999962,0.01700029021145369
2588.HK,2021,4,-0.06905710491367865,0.03782302486828027
2588.HK,2021,5,-0.015691868758915754,-0.033434336099747275
2588.HK,2021,6,-0.050724637681159424,-0.004026761213798243
2588.HK,2021,7,-0.1290076335877863,-0.03046802006744616
2588.HK,2021,8,0.021910604732690624,0.0057618538127902985
2588.HK,2021,9,0.11835334476843921,0.015445379940335032
2588.HK,2021,10,0.04677914110429443,0.029084296608942007
2588.HK,2021,11,-0.19340659340659344,-0.062430806902308573
2588.HK,2021,12,0.03723887375113541,-0.019526913877831963
2588.HK,2022,1,0.14273204903677755,-0.05490953417447081
2588.HK,2022,2,0.038314176245210725,0.002477971955938063
2588.HK,2022,3,-0.08560885608856085,0.10747826707852819
2588.HK,2022,4,0.002421307506053246,-0.034263094657184516
2588.HK,2022,5,0.04347826086956515,-0.04764053087087148
2588.HK,2022,6,0.017746913580247003,-0.036177007014385046
2588.HK,2022,7,0.011372251705837756,0.021870798626214563
2588.HK,2022,8,-0.054722638680659755,0.01291552123399961
2588.HK,2022,9,-0.1157811260904044,-0.06799997615624291
2588.HK,2022,10,-0.0573991031390135,-0.031081348555469745
2588.HK,2022,11,0.1655566127497622,0.05272418156620458
2588.HK,2022,12,0.0636734693877552,-0.036348710752189636
2588.HK,2023,1,-0.0007674597083654853,0.35257719336125903
2588.HK,2023,2,-0.12903225806451601,-0.048895843908380636
2588.HK,2023,3,0.06966490299823626,-0.007216349938952379
2588.HK,2023,4,0.022258862324814534,0.03398853396497515
2588.HK,2023,5,-0.07177419354838714,-0.06160968620156909
2588.HK,2023,6,0.10078192875760217,0.004222473645935783
2588.HK,2023,7,0.024467245461720667,0.0066097958812061375
9CI.SI,2021,9,,0.015445379940335032
9CI.SI,2021,10,0.011764705882352951,0.029084296608942007
9CI.SI,2021,11,-0.023255813953488393,-0.062430806902308573
9CI.SI,2021,12,0.014880952380952462,-0.019526913877831963
9CI.SI,2022,1,0.011730205278592386,-0.05490953417447081
9CI.SI,2022,2,0.06956521739130428,0.002477971955938063
9CI.SI,2022,3,0.08130081300813015,0.10747826707852819
9CI.SI,2022,4,0.060150375939849676,-0.034263094657184516
9CI.SI,2022,5,-0.06619385342789603,-0.04764053087087148
9CI.SI,2022,6,-0.032911392405063376,-0.036177007014385046
9CI.SI,2022,7,0.026178010471204213,0.021870798626214563
9CI.SI,2022,8,-0.0586734693877551,0.01291552123399961
9CI.SI,2022,9,-0.059620596205961995,-0.06799997615624291
9CI.SI,2022,10,-0.13256484149855918,-0.031081348555469745
9CI.SI,2022,11,0.2192691029900333,0.05272418156620458
9CI.SI,2022,12,0.008174386920980995,-0.036348710752189636
9CI.SI,2023,1,0.0702702702702702,0.35257719336125903
9CI.SI,2023,2,-0.060606060606060545,-0.048895843908380636
9CI.SI,2023,3,-0.01075268817204302,-0.007216349938952379
9CI.SI,2023,4,0.010869565217391313,0.03398853396497515
9CI.SI,2023,5,-0.11021505376344089,-0.06160968620156909
9CI.SI,2023,6,0.0,0.004222473645935783
9CI.SI,2023,7,0.021148036253776387,0.0066097958812061375
A17U.SI,2021,1,,0.09876742599625041
A17U.SI,2021,2,-0.04545454545454549,0.04585340211554232
A17U.SI,2021,3,0.037414965986394516,0.01700029021145369
A17U.SI,2021,4,0.019672131147541003,0.03782302486828027
A17U.SI,2021,5,-0.057877813504823065,-0.033434336099747275
A17U.SI,2021,6,0.006825938566552906,-0.004026761213798243
A17U.SI,2021,7,0.05762711864406777,-0.03046802006744616
A17U.SI,2021,8,-0.025641025641025664,0.0057618538127902985
A17U.SI,2021,9,-0.013157894736842117,0.015445379940335032
A17U.SI,2021,10,0.029999999999999954,0.029084296608942007
A17U.SI,2021,11,-0.05501618122977344,-0.062430806902308573
A17U.SI,2021,12,0.010273972602739812,-0.019526913877831963
A17U.SI,2022,1,-0.06440677966101707,-0.05490953417447081
A17U.SI,2022,2,0.003623188405797185,0.002477971955938063
A17U.SI,2022,3,0.05776173285198561,0.10747826707852819
A17U.SI,2022,4,-0.02389078498293525,-0.034263094657184516
A17U.SI,2022,5,-0.02447552447552442,-0.04764053087087148
A17U.SI,2022,6,0.02150537634408604,-0.036177007014385046
A17U.SI,2022,7,0.04210526315789477,0.021870798626214563
A17U.SI,2022,8,-0.05050505050505062,0.01291552123399961
A17U.SI,2022,9,-0.046099290780141806,-0.06799997615624291
A17U.SI,2022,10,-0.026022304832713696,-0.031081348555469745
A17U.SI,2022,11,0.06488549618320608,0.05272418156620458
A17U.SI,2022,12,-0.017921146953404955,-0.036348710752189636
A17U.SI,2023,1,0.05109489051094879,0.35257719336125903
A17U.SI,2023,2,-0.038194444444444406,-0.048895843908380636
A17U.SI,2023,3,0.032490974729241826,-0.007216349938952379
A17U.SI,2023,4,0.0,0.03398853396497515
A17U.SI,2023,5,-0.05594405594405584,-0.06160968620156909
A17U.SI,2023,6,0.007407407407407414,0.004222473645935783
A17U.SI,2023,7,0.04779411764705878,0.0066097958812061375
AP4.SI,2021,1,,0.09876742599625041
AP4.SI,2021,2,-0.09333333333333327,0.04585340211554232
AP4.SI,2021,3,-0.09558823529411772,0.01700029021145369
AP4.SI,2021,4,0.17886178861788615,0.03782302486828027
AP4.SI,2021,5,0.006896551724137937,-0.033434336099747275
AP4.SI,2021,6,-0.15753424657534246,-0.004026761213798243
AP4.SI,2021,7,-0.016260162601626032,-0.03046802006744616
AP4.SI,2021,8,0.04132231404958681,0.0057618538127902985
AP4.SI,2021,9,-0.29365079365079366,0.015445379940335032
AP4.SI,2021,10,-0.03370786516853935,0.029084296608942007
AP4.SI,2021,11,-0.18023255813953493,-0.062430806902308573
AP4.SI,2021,12,-0.0070921985815602905,-0.019526913877831963
AP4.SI,2022,1,0.00714285714285715,-0.05490953417447081
AP4.SI,2022,2,0.10638297872340435,0.002477971955938063
AP4.SI,2022,3,0.26923076923076916,0.10747826707852819
AP4.SI,2022,4,-0.025252525252525276,-0.034263094657184516
AP4.SI,2022,5,-0.23834196891191708,-0.04764053087087148
AP4.SI,2022,6,0.00680272108843538,-0.036177007014385046
AP4.SI,2022,7,0.054054054054054106,0.021870798626214563
AP4.SI,2022,8,-0.07692307692307698,0.01291552123399961
AP4.SI,2022,9,-0.20138888888888892,-0.06799997615624291
AP4.SI,2022,10,-0.06086956521739117,-0.031081348555469745
AP4.SI,2022,11,0.1666666666666666,0.05272418156620458
AP4.SI,2022,12,-0.02380952380952383,-0.036348710752189636
AP4.SI,2023,1,0.04878048780487809,0.35257719336125903
AP4.SI,2023,2,-0.054263565891472916,-0.048895843908380636
AP4.SI,2023,3,-0.016393442622950834,-0.007216349938952379
AP4.SI,2023,4,0.008333333333333342,0.03398853396497515
AP4.SI,2023,5,0.008264462809917363,-0.06160968620156909
AP4.SI,2023,6,0.016393442622950834,0.004222473645935783
AP4.SI,2023,7,0.008064516129032265,0.0066097958812061375
ASLN,2020,12,,
ASLN,2021,1,0.21311475409836056,0.09876742599625041
ASLN,2021,2,0.9954954954954954,0.04585340211554232
ASLN,2021,3,-0.24379232505643336,0.01700029021145369
ASLN,2021,4,-0.035820895522388145,0.03782302486828027
ASLN,2021,5,-0.08049535603715165,-0.033434336099747275
ASLN,2021,6,0.11111111111111113,-0.004026761213798243
ASLN,2021,7,-0.16060606060606064,-0.03046802006744616
ASLN,2021,8,-0.036101083032490974,0.0057618538127902985
ASLN,2021,9,-0.3333333333333333,0.015445379940335032
ASLN,2021,10,-0.056179775280898875,0.029084296608942007
ASLN,2021,11,-0.14285714285714288,-0.062430806902308573
ASLN,2021,12,-0.2222222222222223,-0.019526913877831963
ASLN,2022,1,-0.14732142857142846,-0.05490953417447081
ASLN,2022,2,-0.09947643979057602,0.002477971955938063
ASLN,2022,3,0.046511627906976785,0.10747826707852819
ASLN,2022,4,-0.2488888888888889,-0.034263094657184516
ASLN,2022,5,-0.40236686390532544,-0.04764053087087148
ASLN,2022,6,0.22524752475247528,-0.036177007014385046
ASLN,2022,7,-0.0646464646464647,0.021870798626214563
ASLN,2022,8,0.33909287257019444,0.01291552123399961
ASLN,2022,9,-0.03387096774193548,-0.06799997615624291
ASLN,2022,10,-0.325542570951586,-0.031081348555469745
ASLN,2022,11,0.3613861386138614,0.05272418156620458
ASLN,2022,12,-0.34545454545454546,-0.036348710752189636
ASLN,2023,1,0.911111111111111,0.35257719336125903
ASLN,2023,2,0.09738372093023255,-0.048895843908380636
ASLN,2023,3,-0.2370860927152318,-0.007216349938952379
ASLN,2023,4,0.4409722222222224,0.03398853396497515
ASLN,2023,5,-0.036144578313253094,-0.06160968620156909
ASLN,2023,6,-0.08750000000000002,0.004222473645935783
ASLN,2023,7,-0.3397260273972602,0.0066097958812061375
BN4.SI,2021,1,,0.09876742599625041
BN4.SI,2021,2,0.01397205588822361,0.04585340211554232
BN4.SI,2021,3,0.04724409448818902,0.01700029021145369
BN4.SI,2021,4,0.01879699248120294,0.03782302486828027
BN4.SI,2021,5,-0.01660516605166049,-0.033434336099747275
BN4.SI,2021,6,0.02626641651031889,-0.004026761213798243
BN4.SI,2021,7,0.0036563071297989877,-0.03046802006744616
BN4.SI,2021,8,-0.05282331511839709,0.0057618538127902985
BN4.SI,2021,9,0.003846153846153764,0.015445379940335032
BN4.SI,2021,10,0.030651340996168612,0.029084296608942007
BN4.SI,2021,11,-0.05204460966542756,-0.062430806902308573
BN4.SI,2021,12,0.003921568627451071,-0.019526913877831963
BN4.SI,2022,1,0.10351562500000004,-0.05490953417447081
BN4.SI,2022,2,0.06017699115044245,0.002477971955938063
BN4.SI,2022,3,0.07178631051752916,0.10747826707852819
BN4.SI,2022,4,0.07009345794392526,-0.034263094657184516
BN4.SI,2022,5,0.0029112081513827616,-0.04764053087087148
BN4.SI,2022,6,-0.05805515239477496,-0.036177007014385046
BN4.SI,2022,7,0.06009244992295835,0.021870798626214563
BN4.SI,2022,8,0.05668604651162786,0.01291552123399961
BN4.SI,2022,9,-0.0440165061898211,-0.06799997615624291
BN4.SI,2022,10,0.002877697841726557,-0.031081348555469745
BN4.SI,2022,11,0.08177905308464854,0.05272418156620458
BN4.SI,2022,12,-0.03713527851458889,-0.036348710752189636
BN4.SI,2023,1,0.039944903581267226,0.35257719336125903
BN4.SI,2023,2,-0.2741721854304635,-0.048895843908380636
BN4.SI,2023,3,0.02737226277372253,-0.007216349938952379
BN4.SI,2023,4,0.09591474245115454,0.03398853396497515
BN4.SI,2023,5,0.022690437601296545,-0.06160968620156909
BN4.SI,2023,6,0.06339144215530909,0.004222473645935783
BN4.SI,2023,7,0.07302533532041731,0.0066097958812061375
BUOU.SI,2021,1,,0.09876742599625041
BUOU.SI,2021,2,-0.041666666666666706,0.04585340211554232
BUOU.SI,2021,3,0.05072463768115947,0.01700029021145369
BUOU.SI,2021,4,0.013793103448275874,0.03782302486828027
BUOU.SI,2021,5,-0.02721088435374152,-0.033434336099747275
BUOU.SI,2021,6,0.006993006993007,-0.004026761213798243
BUOU.SI,2021,7,0.05555555555555561,-0.03046802006744616
BUOU.SI,2021,8,-0.013157894736842117,0.0057618538127902985
BUOU.SI,2021,9,0.013333333333333345,0.015445379940335032
BUOU.SI,2021,10,0.0,0.029084296608942007
BUOU.SI,2021,11,-0.03289473684210529,-0.062430806902308573
BUOU.SI,2021,12,0.0340136054421769,-0.019526913877831963
BUOU.SI,2022,1,-0.09868421052631574,-0.05490953417447081
BUOU.SI,2022,2,0.021897810218977957,0.002477971955938063
BUOU.SI,2022,3,0.0428571428571429,0.10747826707852819
BUOU.SI,2022,4,-0.006849315068493157,-0.034263094657184516
BUOU.SI,2022,5,-0.06206896551724128,-0.04764053087087148
BUOU.SI,2022,6,-0.022058823529411783,-0.036177007014385046
BUOU.SI,2022,7,0.08270676691729313,0.021870798626214563
BUOU.SI,2022,8,-0.055555555555555455,0.01291552123399961
BUOU.SI,2022,9,-0.09558823529411772,-0.06799997615624291
BUOU.SI,2022,10,-0.10569105691056901,-0.031081348555469745
BUOU.SI,2022,11,0.03636363636363619,0.05272418156620458
BUOU.SI,2022,12,0.017543859649122823,-0.036348710752189636
BUOU.SI,2023,1,0.08620689655172423,0.35257719336125903
BUOU.SI,2023,2,0.007936507936507943,-0.048895843908380636
BUOU.SI,2023,3,0.03149606299212601,-0.007216349938952379
BUOU.SI,2023,4,0.030534351145038195,0.03398853396497515
BUOU.SI,2023,5,-0.08148148148148154,-0.06160968620156909
BUOU.SI,2023,6,0.008064516129032265,0.004222473645935783
BUOU.SI,2023,7,0.008000000000000007,0.0066097958812061375
C07.SI,2021,1,,0.09876742599625041
C07.SI,2021,2,-0.024118738404452673,0.04585340211554232
C07.SI,2021,3,0.06986692015209137,0.01700029021145369
C07.SI,2021,4,0.029764549089293563,0.03782302486828027
C07.SI,2021,5,-0.05047454702329587,-0.033434336099747275
C07.SI,2021,6,-0.0295320308950478,-0.004026761213798243
C07.SI,2021,7,-0.04026217228464417,-0.03046802006744616
C07.SI,2021,8,-0.052195121951219524,0.0057618538127902985
C07.SI,2021,9,-0.0025733401955738916,0.015445379940335032
C07.SI,2021,10,0.16099071207430346,0.029084296608942007
C07.SI,2021,11,-0.05866666666666668,-0.062430806902308573
C07.SI,2021,12,-0.027384324834749684,-0.019526913877831963
C07.SI,2022,1,-0.015048543689320498,-0.05490953417447081
C07.SI,2022,2,0.07639231148348945,0.002477971955938063
C07.SI,2022,3,0.14606227106227113,0.10747826707852819
C07.SI,2022,4,0.15860966839792245,-0.034263094657184516
C07.SI,2022,5,0.01034482758620692,-0.04764053087087148
C07.SI,2022,6,-0.034470989761092204,-0.036177007014385046
C07.SI,2022,7,-0.01025097207493811,0.021870798626214563
C07.SI,2022,8,0.17357142857142854,0.01291552123399961
C07.SI,2022,9,0.02830188679245282,-0.06799997615624291
C07.SI,2022,10,-0.11985794613791065,-0.031081348555469745
C07.SI,2022,11,0.015803631472764035,0.05272418156620458
C07.SI,2022,12,-0.05329361138695794,-0.036348710752189636
C07.SI,2023,1,0.015384615384615304,0.35257719336125903
C07.SI,2023,2,0.023071625344352677,-0.048895843908380636
C07.SI,2023,3,0.05284416021541569,-0.007216349938952379
C07.SI,2023,4,0.0831202046035806,0.03398853396497515
C07.SI,2023,5,-0.04574970484061405,-0.06160968620156909
C07.SI,2023,6,0.07639962882771417,0.004222473645935783
C07.SI,2023,7,-0.024425287356321677,0.0066097958812061375
C09.SI,2021,1,,0.09876742599625041
C09.SI,2021,2,0.019390581717451602,0.04585340211554232
C09.SI,2021,3,0.08423913043478262,0.01700029021145369
C09.SI,2021,4,-0.011278195488721898,0.03782302486828027
C09.SI,2021,5,-0.02788339670468945,-0.033434336099747275
C09.SI,2021,6,-0.049543676662320714,-0.004026761213798243
C09.SI,2021,7,-0.060356652949245596,-0.03046802006744616
C09.SI,2021,8,-0.001459854014598509,0.0057618538127902985
C09.SI,2021,9,0.010233918128655012,0.015445379940335032
C09.SI,2021,10,0.05933429811866862,0.029084296608942007
C09.SI,2021,11,-0.04098360655737714,-0.062430806902308573
C09.SI,2021,12,-0.029914529914529912,-0.019526913877831963
C09.SI,2022,1,0.03524229074889871,-0.05490953417447081
C09.SI,2022,2,0.009929078014184438,0.002477971955938063
C09.SI,2022,3,0.10533707865168539,0.10747826707852819
C09.SI,2022,4,0.05806861499364674,-0.034263094657184516
C09.SI,2022,5,-0.008046115047436072,-0.04764053087087148
C09.SI,2022,6,-0.013317191283292909,-0.036177007014385046
C09.SI,2022,7,-0.04907975460122704,0.021870798626214563
C09.SI,2022,8,0.04903225806451623,0.01291552123399961
C09.SI,2022,9,-0.0651906519065192,-0.06799997615624291
C09.SI,2022,10,0.003947368421052665,-0.031081348555469745
C09.SI,2022,11,0.08650065530799467,0.05272418156620458
C09.SI,2022,12,-0.007237635705669328,-0.036348710752189636
C09.SI,2023,1,0.008505467800729074,0.35257719336125903
C09.SI,2023,2,-0.07108433734939767,-0.048895843908380636
C09.SI,2023,3,-0.04409857328145264,-0.007216349938952379
C09.SI,2023,4,-0.056987788331071904,0.03398853396497515
C09.SI,2023,5,-0.028776978417266213,-0.06160968620156909
C09.SI,2023,6,-0.004444444444444481,0.004222473645935783
C09.SI,2023,7,0.08630952380952382,0.0066097958812061375
C38U.SI,2021,1,,0.09876742599625041
C38U.SI,2021,2,-0.018691588785046745,0.04585340211554232
C38U.SI,2021,3,0.03333333333333326,0.01700029021145369
C38U.SI,2021,4,-0.00921658986175116,0.03782302486828027
C38U.SI,2021,5,-0.027906976744186074,-0.033434336099747275
C38U.SI,2021,6,0.0,-0.004026761213798243
C38U.SI,2021,7,0.028708133971291894,-0.03046802006744616
C38U.SI,2021,8,-0.04186046511627901,0.0057618538127902985
C38U.SI,2021,9,-0.014563106796116625,0.015445379940335032
C38U.SI,2021,10,0.0591133004926109,0.029084296608942007
C38U.SI,2021,11,-0.018604651162790715,-0.062430806902308573
C38U.SI,2021,12,-0.03317535545023689,-0.019526913877831963
C38U.SI,2022,1,-0.049019607843137296,-0.05490953417447081
C38U.SI,2022,2,0.08762886597938141,0.002477971955938063
C38U.SI,2022,3,0.066350710900474,0.10747826707852819
C38U.SI,2022,4,0.03555555555555559,-0.034263094657184516
C38U.SI,2022,5,-0.06008583690987129,-0.04764053087087148
C38U.SI,2022,6,-0.009132420091324209,-0.036177007014385046
C38U.SI,2022,7,0.004608294930875683,0.021870798626214563
C38U.SI,2022,8,-0.05045871559633042,0.01291552123399961
C38U.SI,2022,9,-0.07246376811594199,-0.06799997615624291
C38U.SI,2022,10,-0.020833333333333353,-0.031081348555469745
C38U.SI,2022,11,0.10106382978723402,0.05272418156620458
C38U.SI,2022,12,-0.014492753623188312,-0.036348710752189636
C38U.SI,2023,1,0.049019607843137296,0.35257719336125903
C38U.SI,2023,2,-0.09345794392523372,-0.048895843908380636
C38U.SI,2023,3,0.020618556701030948,-0.007216349938952379
C38U.SI,2023,4,0.025252525252525162,0.03398853396497515
C38U.SI,2023,5,-0.014778325123152615,-0.06160968620156909
C38U.SI,2023,6,-0.04500000000000004,0.004222473645935783
C38U.SI,2023,7,0.07329842931937168,0.0066097958812061375
C52.SI,2021,1,,0.09876742599625041
C52.SI,2021,2,0.018987341772151913,0.04585340211554232
C52.SI,2021,3,0.06211180124223594,0.01700029021145369
C52.SI,2021,4,0.005847953216374275,0.03782302486828027
C52.SI,2021,5,-0.011627906976744196,-0.033434336099747275
C52.SI,2021,6,-0.03529411764705886,-0.004026761213798243
C52.SI,2021,7,-0.0426829268292682,-0.03046802006744616
C52.SI,2021,8,0.03184713375796181,0.0057618538127902985
C52.SI,2021,9,-0.06790123456790129,0.015445379940335032
C52.SI,2021,10,0.033112582781456984,0.029084296608942007
C52.SI,2021,11,-0.12179487179487175,-0.062430806902308573
C52.SI,2021,12,0.021897810218977957,-0.019526913877831963
C52.SI,2022,1,-0.02857142857142844,-0.05490953417447081
C52.SI,2022,2,0.03676470588235281,0.002477971955938063
C52.SI,2022,3,0.056737588652482324,0.10747826707852819
C52.SI,2022,4,-0.01342281879194632,-0.034263094657184516
C52.SI,2022,5,-0.02040816326530614,-0.04764053087087148
C52.SI,2022,6,-0.027777777777777804,-0.036177007014385046
C52.SI,2022,7,0.0142857142857143,0.021870798626214563
C52.SI,2022,8,-0.007042253521126767,0.01291552123399961
C52.SI,2022,9,-0.06382978723404245,-0.06799997615624291
C52.SI,2022,10,-0.03787878787878791,-0.031081348555469745
C52.SI,2022,11,-0.03149606299212601,0.05272418156620458
C52.SI,2022,12,0.0,-0.036348710752189636
C52.SI,2023,1,-0.024390243902439046,0.35257719336125903
C52.SI,2023,2,0.008333333333333342,-0.048895843908380636
C52.SI,2023,3,-0.024793388429752088,-0.007216349938952379
C52.SI,2023,4,0.00847457627118645,0.03398853396497515
C52.SI,2023,5,-0.07563025210084022,-0.06160968620156909
C52.SI,2023,6,0.05454545454545439,0.004222473645935783
C52.SI,2023,7,0.06896551724137938,0.0066097958812061375
C6L.SI,2021,1,,0.09876742599625041
C6L.SI,2021,2,0.21167883211678834,0.04585340211554232
C6L.SI,2021,3,0.11445783132530107,0.01700029021145369
C6L.SI,2021,4,-0.08828828828828833,0.03782302486828027
C6L.SI,2021,5,-0.015810276679841737,-0.033434336099747275
C6L.SI,2021,6,-0.026104417670682886,-0.004026761213798243
C6L.SI,2021,7,0.051546391752577324,-0.03046802006744616
C6L.SI,2021,8,-0.007843137254901968,0.0057618538127902985
C6L.SI,2021,9,-0.005928853754940585,0.015445379940335032
C6L.SI,2021,10,0.03379721669980118,0.029084296608942007
C6L.SI,2021,11,-0.06346153846153847,-0.062430806902308573
C6L.SI,2021,12,0.024640657084188933,-0.019526913877831963
C6L.SI,2022,1,0.0020040080160320215,-0.05490953417447081
C6L.SI,2022,2,0.01799999999999997,0.002477971955938063
C6L.SI,2022,3,0.08055009823182714,0.10747826707852819
C6L.SI,2022,4,0.0,-0.034263094657184516
C6L.SI,2022,5,0.007272727272727279,-0.04764053087087148
C6L.SI,2022,6,-0.07942238267148022,-0.036177007014385046
C6L.SI,2022,7,0.06862745098039226,0.021870798626214563
C6L.SI,2022,8,-0.023853211009174292,0.01291552123399961
C6L.SI,2022,9,-0.04135338345864673,-0.06799997615624291
C6L.SI,2022,10,0.03137254901960787,-0.031081348555469745
C6L.SI,2022,11,0.045627376425855556,0.05272418156620458
C6L.SI,2022,12,0.0054545454545455,-0.036348710752189636
C6L.SI,2023,1,0.07052441229656413,0.35257719336125903
